SUBJECT TRIAL TARGET CONTEXT ROW REP FOUNDRT OKSE
8 26 2 1 18 2 6232 1
8 27 1 1 9 1 5283 1
8 28 1 1 11 1 3967 1
8 29 2 1 15 2 3743 1
8 30 1 2 16 2 3693 1
8 31 1 2 2 2 1699 1
8 32 1 1 4 1 2070 1
8 33 2 1 5 1 2270 1
8 34 2 1 11 1 3202 1
8 35 2 2 15 1 3786 1
8 36 2 2 3 2 1950 1
8 37 1 1 14 2 6465 1
8 38 1 1 8 1 3059 1
8 39 2 1 14 2 3878 1
8 40 1 1 19 2 5693 1
8 41 2 2 11 1 2874 1
8 42 2 1 10 1 2968 1
8 43 1 1 3 2 19008 1
8 44 1 1 20 2 10355 1
8 45 2 1 4 1 1625 1
8 46 2 1 18 1 5193 1
8 47 1 1 8 2 3688 1
8 48 2 2 5 2 1885 1
8 49 2 2 6 1 3381 1
8 50 1 1 13 2 6091 1
8 51 1 1 1 1 1010 1
8 52 2 2 20 1 4460 1
8 53 1 1 18 1 6639 1
8 54 2 2 18 1 4598 1
8 55 1 2 18 1 9859 1
8 56 2 2 16 2 3336 1
8 57 1 2 5 1 5007 1
8 58 2 2 12 1 3833 1
8 59 1 1 15 2 6465 1
8 60 1 2 8 1 2154 1
8 61 2 2 14 2 4783 1
8 62 1 1 10 1 4554 1
8 63 2 2 9 2 3838 1
8 64 2 1 12 2 2518 1
8 65 2 1 15 1 5102 1
8 66 1 1 14 1 5377 1
8 67 1 1 10 2 9220 1
8 68 2 2 7 2 5318 1
8 69 1 2 13 2 2861 1
8 70 1 2 14 1 5306 1
8 71 1 2 7 1 1879 1
8 72 1 1 6 1 2750 1
8 73 2 2 17 2 11434 1
8 74 1 2 20 2 5602 1
8 75 2 1 11 2 6904 1
8 76 1 2 5 2 2608 1
8 77 1 2 4 1 1524 1
8 78 2 2 5 1 2203 1
8 79 1 2 15 2 4323 1
8 80 2 1 7 1 2560 1
8 81 1 1 17 2 5328 1
8 82 2 2 11 2 3691 1
8 83 1 2 14 2 6280 1
8 84 1 1 12 1 4872 1
8 85 2 1 16 2 4235 1
8 86 2 1 2 2 2012 1
8 87 1 2 16 1 2840 1
8 88 2 1 19 1 4731 1
8 89 1 1 1 2 1160 1
8 90 2 1 17 2 4832 1
8 91 1 1 20 1 4785 1
8 92 1 2 17 2 3739 1
8 93 1 2 17 1 2294 1
8 94 1 2 8 2 4418 1
8 95 2 2 19 1 4323 1
8 96 2 2 1 2 1201 1
8 97 1 2 10 1 2477 1
8 98 2 1 6 2 1843 1
8 99 1 2 9 1 2976 1
8 100 1 1 16 2 5868 1
8 101 2 2 14 1 4281 1
8 102 2 2 9 1 2822 1
8 103 2 1 8 1 3199 1
8 104 2 1 2 1 756 1
8 105 2 1 10 2 3200 1
8 106 1 1 7 2 4967 1
8 107 2 1 6 1 9361 1
8 108 1 1 16 1 9132 1
8 109 2 1 3 2 6818 1
8 110 2 1 17 1 4559 1
8 111 2 1 1 1 1435 1
8 112 2 1 3 1 1743 1
8 113 1 1 13 1 8273 1
8 114 1 2 7 2 1704 1
8 115 2 2 13 2 4199 1
8 116 1 1 3 1 1742 1
8 117 2 2 4 2 1841 1
8 118 2 2 19 2 7802 1
8 119 1 1 5 1 2751 1
8 120 1 1 11 2 4325 1
8 121 2 2 12 2 4425 1
8 122 2 2 16 1 5967 1
8 123 2 2 8 2 3022 1
8 124 2 1 16 1 4015 1
8 125 1 2 19 1 4008 1
8 126 1 2 9 2 3242 1
8 127 1 1 15 1 6916 1
8 128 1 1 7 1 2700 1
8 129 2 2 3 1 2519 1
8 130 2 1 13 1 3971 1
8 131 2 1 5 2 1519 1
8 132 1 1 19 1 5511 1
8 133 1 1 12 2 4334 1
8 134 2 1 14 1 3599 1
8 135 1 2 1 1 1204 1
8 136 2 1 1 2 935 1
8 137 1 1 18 2 5554 1
8 138 1 1 17 1 6732 1
8 139 1 2 6 2 1520 1
8 140 2 1 13 2 3792 1
8 141 1 2 15 1 3647 1
8 142 2 2 15 2 3200 1
8 143 1 2 2 1 1343 1
8 144 2 1 20 1 4694 1
8 145 1 2 18 2 2728 1
8 146 2 2 10 1 4602 1
8 147 2 2 10 2 4371 1
8 148 1 2 19 2 2793 1
8 149 2 1 9 1 2154 1
8 150 1 2 6 1 1971 1
8 151 2 1 8 2 2091 1
8 152 1 1 4 2 1470 1
8 153 2 2 1 1 1066 1
8 154 1 1 2 2 1255 1
8 155 2 2 20 2 5369 1
8 156 2 2 7 1 3554 1
8 157 1 2 3 1 5778 1
8 158 1 1 9 2 3104 1
8 159 2 2 17 1 6819 1
8 160 1 2 10 2 6189 1
8 161 2 2 6 2 4920 1
11 1 1 2 12 1 6414 1
11 2 1 1 15 2 10581 1
11 3 1 1 20 2 10532 1
11 4 1 1 8 2 5831 1
11 5 1 2 19 2 8537 1
11 6 2 1 16 2 18373 2
11 7 2 2 20 2 7591 1
11 8 2 2 10 1 4196 1
11 9 1 2 10 1 4922 1
11 10 2 1 17 2 6208 1
11 11 2 1 20 2 8548 2
11 12 2 2 14 2 10468 1
11 13 2 2 6 1 3418 1
11 14 2 2 15 2 8721 1
11 15 2 1 1 1 9135 2
11 16 2 1 11 2 5278 1
11 17 1 2 5 1 2865 1
11 18 1 1 6 2 3692 1
11 19 2 1 12 2 5464 1
11 20 1 1 12 2 6497 1
11 21 2 1 9 1 3292 1
11 22 2 2 2 2 2925 1
11 23 2 1 10 2 3609 1
11 24 1 2 7 2 2704 1
11 25 1 2 3 1 1563 1
11 26 2 1 18 2 6532 1
11 27 2 1 8 2 3338 1
11 28 2 1 16 1 4600 1
11 29 1 2 4 2 2016 1
11 30 1 1 11 2 5829 1
11 31 2 2 20 1 10302 1
11 32 2 2 1 1 1661 1
11 33 1 1 18 2 9126 1
11 34 2 2 11 2 8900 2
11 35 1 2 17 1 7046 1
11 36 2 1 6 1 2422 1
11 37 2 1 15 1 6366 1
11 38 1 1 14 2 8726 1
11 39 2 2 9 1 4283 1
11 40 2 2 16 2 8318 1
11 41 2 2 6 2 4911 1
11 42 1 1 4 2 2700 1
11 43 2 1 3 1 1792 1
11 44 1 1 6 1 3836 1
11 45 2 2 16 1 9627 1
11 46 1 1 3 2 2197 1
11 47 2 2 17 1 12165 2
11 48 2 2 4 1 2653 1
11 49 2 2 18 2 8996 1
11 50 1 2 16 1 5138 1
11 51 1 1 1 1 1027 1
11 52 1 1 2 1 1475 1
11 53 2 1 2 1 1613 1
11 54 1 2 15 1 5189 1
11 55 2 2 5 1 3419 1
11 56 1 2 15 2 5551 1
11 57 2 1 3 2 1833 1
11 58 1 2 12 1 3963 1
11 59 1 2 4 1 7367 2
11 60 2 2 5 2 3784 1
11 61 2 1 7 2 9901 2
11 62 1 2 5 2 3372 1
11 63 2 1 4 2 1567 1
11 64 2 2 3 2 3606 1
11 65 2 2 8 1 4739 1
11 66 1 2 10 2 6870 2
11 67 1 1 8 1 5188 1
11 68 1 2 20 1 6414 1
11 69 2 2 1 2 1225 1
11 70 2 2 2 1 9994 2
11 71 2 2 17 2 7450 1
11 72 1 2 3 2 1844 1
11 73 2 1 2 2 1655 1
11 74 2 1 9 2 4924 1
11 75 1 2 20 2 6591 1
11 76 2 2 13 1 9995 2
11 77 1 2 18 2 6010 1
11 78 1 1 12 1 5139 1
11 79 2 1 14 1 5005 1
11 80 1 1 10 1 4784 1
11 81 2 2 7 2 4041 1
11 82 2 2 13 2 5368 1
11 83 1 2 2 1 2424 1
11 84 1 2 16 2 5228 1
11 85 1 1 7 1 4331 1
11 86 1 1 11 1 4916 1
11 87 1 1 9 2 3827 1
11 88 1 2 14 1 4376 1
11 89 1 2 1 2 1302 1
11 90 1 1 16 2 7598 2
11 91 1 2 8 2 2515 1
11 92 2 2 15 1 5189 1
11 93 2 2 7 1 5100 1
11 94 1 1 13 2 7999 2
11 95 1 1 5 1 2292 1
11 96 2 2 12 2 5323 1
11 97 1 1 17 1 6138 1
11 98 1 1 3 1 6638 2
11 99 2 1 19 1 4597 1
11 100 1 1 16 1 5875 1
11 101 1 1 17 2 5693 1
11 102 2 1 13 2 4234 1
11 103 1 1 7 2 2717 1
11 104 2 1 6 2 1699 1
11 105 1 2 11 1 3925 1
11 106 1 1 5 2 1979 1
11 107 2 2 11 1 4332 1
11 108 2 1 15 2 4511 1
11 109 2 1 7 1 4823 2
11 110 2 1 4 1 1426 1
11 111 1 1 20 1 6633 1
11 112 1 2 1 1 3244 1
11 113 2 2 12 1 4785 1
11 114 2 2 4 2 2883 1
11 115 1 2 18 1 4199 1
11 116 2 2 19 2 5369 1
11 117 2 1 5 1 3511 1
11 118 2 1 19 2 4849 1
11 119 1 2 9 1 3606 1
11 120 2 1 17 1 5008 1
11 121 1 1 14 1 6598 2
11 122 2 1 10 1 3652 1
11 123 2 2 9 2 4240 1
11 124 2 2 8 2 7766 2
11 125 2 1 13 1 3457 1
11 126 1 2 13 1 4338 1
11 127 1 1 15 1 6665 1
11 128 1 2 2 2 6012 2
11 129 1 2 6 2 2515 1
11 130 2 2 10 2 5691 1
11 131 1 2 17 2 4914 1
11 132 2 2 19 1 6841 1
11 133 2 1 1 2 5411 2
11 134 1 2 6 1 2922 1
11 135 2 1 18 1 4505 1
11 136 1 1 10 2 4381 1
11 137 1 2 13 2 3474 1
11 138 1 1 19 2 6275 1
11 139 2 1 20 1 3830 1
11 140 2 1 14 2 2432 1
11 141 1 1 13 1 3556 1
11 142 2 2 14 1 8767 2
11 143 1 2 14 2 4280 1
11 144 2 2 3 1 8227 2
11 145 1 1 9 1 2841 1
11 146 1 2 9 2 2063 1
11 147 2 1 5 2 2385 1
11 148 1 2 19 1 4652 1
11 149 1 2 12 2 4911 2
11 150 1 1 18 1 6145 1
11 151 1 2 8 1 10666 2
11 152 1 1 2 2 8088 2
11 153 2 1 11 1 4151 1
11 154 1 1 1 2 1526 1
11 155 2 1 8 1 2471 1
11 156 2 1 12 1 3828 1
11 157 1 2 7 1 3088 1
11 158 1 1 4 1 1884 1
11 159 1 1 19 1 5905 1
11 160 2 2 18 1 4958 1
11 161 1 2 11 2 2876 1
13 1 1 2 12 1 12168 1
13 2 2 2 18 2 22230 1
13 3 1 1 7 1 6413 1
13 4 1 1 19 2 17694 1
13 5 1 1 14 2 13573 1
13 6 1 2 3 1 3204 1
13 7 2 1 11 2 8902 1
13 8 2 2 11 2 9397 1
13 9 1 2 1 1 1384 1
13 10 2 1 7 1 4052 1
13 11 2 1 1 2 1387 1
13 12 2 1 10 1 8052 1
13 13 2 1 18 1 14838 1
13 14 1 1 18 2 12171 1
13 15 1 2 2 1 3273 1
13 16 2 2 9 1 20529 2
13 17 2 2 2 2 2611 1
13 18 2 1 13 2 12119 1
13 19 2 2 2 1 1521 1
13 20 1 1 6 2 4244 1
